AuthorID,Author,Date,Content,Attachments,Reactions
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:55","弾幕風","",""
"707811166910414920","ころP#9826","21-Feb-10 PM 07:55","(_･ω･)_ﾀｧﾝの党","","__ (1)"
"756084898187575317","りょーた#1884","21-Feb-10 PM 07:55","初耳学","","__ (1)"
"707811166910414920","ころP#9826","21-Feb-10 PM 07:56","御林","","__ (1),Mcd_haahaa (1),🍁 (1)"
"756084898187575317","りょーた#1884","21-Feb-10 PM 07:56","NHKを一番ぶっ壊せているのは後藤輝樹","","©️ (1),🍁 (1)"
"707811166910414920","ころP#9826","21-Feb-10 PM 07:56","М","","god (1)"
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:56","","https://cdn.discordapp.com/attachments/809013243796258846/809015041449394176/ronald_saves_the_world.png",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:57","","https://cdn.discordapp.com/attachments/809013243796258846/809015119107194900/BB.png",""
"707811166910414920","ころP#9826","21-Feb-10 PM 07:57","地球は我の手にあり
↓
地球をぶん投げる","","🍁 (2)"
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:57",":nintendo_m3d:","","©️ (1)"
"756084898187575317","りょーた#1884","21-Feb-10 PM 07:57","ピッチャー変わりまして","","🍁 (1)"
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 07:57",":maxresdefault:","",""
"707811166910414920","ころP#9826","21-Feb-10 PM 07:57","ドナルド・マクドナルド","",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:57",":god:","",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015320739315732/BB.jpg",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015324677898260/unknown.png",""
"755381028817731605","diie845#8454","21-Feb-10 PM 07:58",":okeibunka:","",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015336074346526/unknown.png",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015342822064128/unknown.png",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015356021932033/af547c8a9e3691f4.jpg","okeibunka (1)"
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015371939840010/fabfcf1ff7450b01.png",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 07:58",":okeibunka:","",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015396791353344/c559a24ee508a95b.png","🍁 (1)"
"681474783870713884","ころQ#0162","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015436481265674/unknown.png",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015509059895346/BB.mp4",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:58","","https://cdn.discordapp.com/attachments/809013243796258846/809015527955628082/BB.mp4",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 07:59",":c559a24ee508a95b:","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 07:59","はいよ","",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 07:59","","https://cdn.discordapp.com/attachments/809013243796258846/809015584679395338/unknown.png",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 07:59","それやだ","",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:59","","https://cdn.discordapp.com/attachments/809013243796258846/809015649305100328/BB.mp4",""
"756084898187575317","りょーた#1884","21-Feb-10 PM 07:59","","https://cdn.discordapp.com/attachments/809013243796258846/809015652932124692/image0.jpg",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:59","","https://cdn.discordapp.com/attachments/809013243796258846/809015663313944576/BB.mp4",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 07:59","卑弥呼はスベる（新事実）","",""
"756084898187575317","りょーた#1884","21-Feb-10 PM 07:59","初耳学","",""
"755381028817731605","diie845#8454","21-Feb-10 PM 07:59","管理が甘い（新提案）","",""
"796308278954950667","多機能BOT（開発中）#2148","21-Feb-10 PM 07:59","はい","",""
"755381028817731605","diie845#8454","21-Feb-10 PM 07:59","しね","",""
"756084898187575317","りょーた#1884","21-Feb-10 PM 07:59","そうだよ（便乗）","",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 07:59","","https://cdn.discordapp.com/attachments/809013243796258846/809015802690797589/DonaldLetsGo.png","god (1)"
"681474783870713884","ころQ#0162","21-Feb-10 PM 08:00","@多機能BOT（開発中） しね","",""
"796308278954950667","多機能BOT（開発中）#2148","21-Feb-10 PM 08:00","@ころQ, 呼びましたか？","",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 08:00","","https://cdn.discordapp.com/attachments/809013243796258846/809015829848522752/f6510e21838fd79b.png","god (1)"
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 08:00","","https://cdn.discordapp.com/attachments/809013243796258846/809015847175585842/fd9d7969b44a8de6.jpg","god (1)"
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 08:00","","https://cdn.discordapp.com/attachments/809013243796258846/809015882868457482/BB.png",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 08:00","","https://cdn.discordapp.com/attachments/809013243796258846/809015909078269963/69bf7ddc0f79cadb.png",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 08:00","","https://cdn.discordapp.com/attachments/809013243796258846/809015928858738708/fca63eebacf24022.png",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 08:00","","https://cdn.discordapp.com/attachments/809013243796258846/809015955257950269/BB.jpg",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:00","だったものになった","",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 08:00","","https://cdn.discordapp.com/attachments/809013243796258846/809015978524540938/d00b32f571655702.jpg",""
"755381028817731605","diie845#8454","21-Feb-10 PM 08:00","#画像保存庫","",""
"755381028817731605","diie845#8454","21-Feb-10 PM 08:00","画像はここへ","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:01","カオス","",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 08:01","🖕","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:01","えぇ","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:01",":iam_rule:","",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 08:02","これをコラッたやつくれ","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:02","管理課じゃないから無理","",""
"796308278954950667","多機能BOT（開発中）#2148","21-Feb-10 PM 08:02","はい","",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 08:02","せｄｒｆｔｇｙふじｋｌ；：","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:03","管理課おいしかったなぁ","",""
"796308278954950667","多機能BOT（開発中）#2148","21-Feb-10 PM 08:03","はい","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:03","かんり","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:03","管理","",""
"796308278954950667","多機能BOT（開発中）#2148","21-Feb-10 PM 08:03","はい","",""
"681474783870713884","ころQ#0162","21-Feb-10 PM 08:03","https://www.youtube.com/watch?v=dxlVZ25IkA8","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:03","んふぃｗｙがういおｆ","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:03","くぁｗせｄｒｆｔｇｙふじこｌｐ","",""
"755381028817731605","diie845#8454","21-Feb-10 PM 08:04",":ikd_keiryuu:","",""
"707811166910414920","ころP#9826","21-Feb-10 PM 08:04",":ikd_keiryuu:","",""
"707811166910414920","ころP#9826","21-Feb-10 PM 08:04","@渓流さあもん","",""
"751440443216101504","たかもとさん#7392","21-Feb-10 PM 08:04",":ikd_keiryuu:","",""
"707811166910414920","ころP#9826","21-Feb-10 PM 08:04",":ikd_keiryuu:","",""
"755074361530253413","渓流さあもん#7887","21-Feb-10 PM 08:04",":ikd_keiryuu:","",""
"707811166910414920","ころP#9826","21-Feb-10 PM 08:05",":ikd_keiryuu:","",""
